episode_index,environment_steps,optimizer_step_calls_at_observation,sb3_update_counter_at_observation,record_phase,episode_metrics.aux_shift_kwh,episode_metrics.bess_throughput_kwh,episode_metrics.carbon_delta_kg,episode_metrics.carbon_kg,episode_metrics.degradation_cost_cny,episode_metrics.demand_charge_cny,episode_metrics.energy_cost_cny,episode_metrics.financial_delta_cny,episode_metrics.flex_deadline_violation_kwh,episode_metrics.guardrail_violation_rate,episode_metrics.guardrail_violations,episode_metrics.max_flex_age_hours,episode_metrics.nonzero_bess_action_rate,episode_metrics.nonzero_bess_actions,episode_metrics.nonzero_flex_action_rate,episode_metrics.nonzero_flex_actions,episode_metrics.peak_kw,episode_metrics.physical_power_violations,episode_metrics.projection_count,episode_metrics.projection_rate,episode_metrics.reserve_shortfall_kwh,episode_metrics.reward,episode_metrics.shore_sla_violation_kwh,episode_metrics.soc_max_observed,episode_metrics.soc_min_observed,episode_metrics.temperature_max_c,episode_metrics.terminal_flex_backlog_kwh,episode_metrics.terminal_soc_error,episode_metrics.total_cost_cny,episode_metrics.training_reward
45,7560,11118,5559,after_environment_step_before_replay_storage_and_optimizer,15509.323844434466,0.0,125.37443065656407,2060257.6390986927,0.0,210412.71999402388,2600932.139808682,-4389.579636420524,0.0,0.0,0.0,12.0,0.0,0.0,0.8571428571428571,144.0,24076.831446684595,0.0,0.0,0.0,0.0,0.16415940490985437,0.0,0.58,0.58,31.200000762939453,0.0,0.0,2811344.8598027057,14.425432342708776
46,7728,11454,5727,after_environment_step_before_replay_storage_and_optimizer,14892.535229868274,0.0,94.86379011621102,2098757.916987289,0.0,213522.70539217506,2650164.2918414674,-3356.061524113581,0.0,0.0,0.0,12.0,0.0,0.0,0.8214285714285714,138.0,24432.69678712154,0.0,1.0,0.005952380952380952,0.0,0.1609714285140442,0.0,0.58,0.58,24.0,0.0,0.0,2863686.9972336423,11.088480213595245
47,7896,11790,5895,after_environment_step_before_replay_storage_and_optimizer,14658.694582900902,0.0,102.38021696828582,2068713.6667470874,0.0,213291.32813099367,2611747.6258413205,-3882.4979569429506,0.0,0.0,0.0,12.0,0.0,0.0,0.8452380952380952,142.0,24406.221052583158,0.0,0.0,0.0,0.0,0.15498094158433898,0.0,0.58,0.58,24.0,0.0,0.0,2825038.953972314,13.269676766617605
48,8064,12126,6063,after_environment_step_before_replay_storage_and_optimizer,14601.692938141083,0.0,89.8805893301942,2065180.0091280565,0.0,212114.11490554063,2606638.680550212,-933.2835169466038,0.0,0.0,0.0,12.0,0.0,0.0,0.8809523809523809,148.0,24271.51643773456,0.0,0.0,0.0,0.0,0.13560071432546325,0.0,0.58,0.58,24.0,0.0,0.0,2818752.795455753,-0.7264177750786427
49,8232,12462,6231,after_environment_step_before_replay_storage_and_optimizer,15564.843608427933,0.0,138.30394871830867,2028559.6645752923,0.0,207546.71395550796,2560654.101210376,-4329.3587921911785,0.0,0.0,0.0,12.0,0.0,0.0,0.8690476190476191,146.0,23748.883857220953,0.0,0.0,0.0,0.0,0.16687684221901783,0.0,0.58,0.58,24.0,0.0,0.0,2768200.815165884,13.348557037857383
50,8400,12798,6399,after_environment_step_before_replay_storage_and_optimizer,15460.315313336567,0.0,33.34473939069903,2238133.836517379,0.0,228312.35298508592,2824574.818042976,-2056.9016826518073,0.0,0.0,0.0,12.0,0.0,0.0,0.7797619047619048,131.0,26125.027233020875,0.0,1.0,0.005952380952380952,0.0,0.09799065108169526,0.0,0.58,0.58,32.0,0.0,0.0,3052887.171028062,8.283824049817095
51,8568,13134,6567,after_environment_step_before_replay_storage_and_optimizer,15612.996840406217,0.0,88.67027793233865,2069153.7722296226,0.0,212154.04119031748,2612360.3160015247,-2666.9167510653083,0.0,0.0,0.0,12.0,0.0,0.0,0.8333333333333334,140.0,24276.085070414618,0.0,0.0,0.0,0.0,0.14592004166612774,0.0,0.58,0.58,24.0,0.0,0.0,2824514.357191842,8.01436707938622
52,8736,13470,6735,after_environment_step_before_replay_storage_and_optimizer,16906.036585276328,0.0,89.6102923616454,2160273.346044828,0.0,221928.470091161,2727184.3153066975,-1751.6006267075757,0.0,0.0,0.0,12.0,0.0,0.0,0.8630952380952381,145.0,25394.540633081626,0.0,1.0,0.005952380952380952,0.0,0.1779246167062522,0.0,0.58,0.58,25.399999618530273,0.0,0.0,2949112.7853978584,3.381385591839154
53,8904,13806,6903,after_environment_step_before_replay_storage_and_optimizer,14801.592316450804,0.0,80.94981212200946,2096509.6215069322,0.0,214629.54691253323,2647239.499452388,-2990.882696137635,0.0,0.0,0.0,12.0,0.0,0.0,0.8035714285714286,135.0,24559.349000564773,0.0,0.0,0.0,0.0,0.1513776412818465,0.0,0.58,0.58,24.0,0.0,0.0,2861869.046364921,10.097424753367605
54,9072,14142,7071,after_environment_step_before_replay_storage_and_optimizer,15059.794135507307,0.0,82.95278218058957,2160774.6695553917,0.0,223214.2139775819,2728194.3209940977,-2241.6103508598653,0.0,0.0,0.0,12.0,0.0,0.0,0.8452380952380952,142.0,25541.664052415977,0.0,1.0,0.005952380952380952,0.0,0.1441473251724392,0.0,0.58,0.58,24.0,0.0,0.0,2951408.5349716796,6.230884823463952
55,9240,14478,7239,after_environment_step_before_replay_storage_and_optimizer,18599.6102355462,0.0,102.18310651294269,2048843.5961809584,0.0,209041.6174392872,2585107.134539621,-2024.9233126299987,0.0,0.0,0.0,12.0,0.0,0.0,0.9285714285714286,156.0,23919.94071732445,0.0,0.0,0.0,0.0,0.1708751973468414,0.0,0.58,0.58,30.299999237060547,0.0,0.0,2794148.751978908,3.9936301723734315
56,9408,14814,7407,after_environment_step_before_replay_storage_and_optimizer,14855.780877047275,0.0,62.241613635800604,2170278.9140534513,0.0,221555.07134329146,2741402.577685281,-2105.834615591349,0.0,0.0,0.0,12.0,0.0,0.0,0.7976190476190477,134.0,25351.813849667047,0.0,1.0,0.005952380952380952,0.0,0.15373278498884083,0.0,0.58,0.58,24.0,0.0,0.0,2962957.6490285727,6.794676259808714
